time,role,sample_count,axis_angle_rad,mean_axial_error_rad,median_axial_error_rad,p90_axial_error_rad,mean_axial_error_deg,median_axial_error_deg,p90_axial_error_deg,mean_signed_axis_velocity,mean_abs_axis_velocity,mean_signed_perpendicular_velocity,mean_abs_perpendicular_velocity,sample_too_small,interpretation_warning
3839,transporter,16,0.7853981633974483,0.6004240774303385,0.697521249570936,1.1435824016386074,34.401765554794544,39.965023721106014,65.5224451393268,0.06737523320972114,0.44914741687387627,0.05623493251075778,0.3008712261041754,False,
3839,follower,70,0.7853981633974483,0.7934313627901606,0.7853981633974483,1.5165297421687236,45.46026842118947,45.0,86.89075373233077,0.01066416572297922,0.38353881232412923,0.01589725956038835,0.3887316383904296,False,
3840,forager,14,0.7853981633974483,0.8175859681828669,0.8817138183255968,1.148347492430672,46.84422536599548,50.51848052842132,65.79546473070876,-0.03492226487878154,0.3880354989056278,-0.15675801471628278,0.41784447578585987,False,
3840,transporter,16,0.7853981633974483,0.6290127574522633,0.7447964432137444,1.1953948090922033,36.039776261900805,42.673692792502635,68.49107741283002,0.07789714497713214,0.4386255051064658,0.03328855098764941,0.31396690255891924,False,
3840,follower,70,0.7853981633974483,0.7974216298143227,0.7853981633974483,1.4531420954381575,45.68889388080419,45.0,83.2589091014031,-0.00970827979526297,0.3853967357702007,0.007786003712181945,0.3952601126045461,False,
3841,forager,14,0.7853981633974483,0.7784590637711256,0.7822369995439855,1.2527716748411122,44.6024188777909,44.818878652847275,71.77852966193123,0.005356562599978977,0.3951788171076456,-0.19633045755663106,0.39109217347564734,False,
3841,transporter,16,0.7853981633974483,0.6681686154518123,0.7853981633974483,1.4456639783326435,38.28324166848853,45.0,82.83044455255256,0.055937671751667487,0.41760960002977543,0.02429522609778057,0.324126019314119,False,
3841,follower,70,0.7853981633974483,0.7829692613969549,0.7853981633974483,1.3403235447538513,44.860834166520846,45.0,76.7948822964096,0.0012944064890322935,0.3946606216323801,0.017186934943198652,0.3927717396358056,False,
3842,forager,14,0.7853981633974483,0.7838795661013039,0.7343467756166595,1.301607983808725,44.91299078415095,42.07497094187506,74.57664405277234,0.013179771112065697,0.394471918512287,-0.17397472400995895,0.3933178905858043,False,
3842,transporter,16,0.7853981633974483,0.6895804830242848,0.7853981633974483,1.4456639783326362,39.510051311884226,45.0,82.83044455255214,0.06348485838321383,0.41006241339822924,0.03461416501809672,0.33444495823443415,False,
